Number of days:,Number of animals,Number of grass,Average energy of living animals,Average lifespan of dead animals,Number of unoccupied fields
0,22.0,20.0,50.63636363636363,0.0,164.0
1,23.0,19.0,57.95652173913044,0.0,163.0
2,25.0,18.0,61.56,0.0,163.0
3,26.0,16.0,72.38461538461539,0.0,162.0
4,27.0,15.0,77.74074074074075,0.0,162.0
5,28.0,17.0,71.92857142857143,0.0,160.0
6,27.0,16.0,80.44444444444444,4.5,162.0
7,26.0,17.0,84.42307692307692,5.333333492279053,160.0
8,25.0,17.0,92.72,4.75,160.0
9,24.0,16.0,105.95833333333333,5.599999904632568,162.0
10,23.0,17.0,110.91304347826087,6.333333492279053,162.0
11,21.0,16.0,129.57142857142858,7.5,165.0
12,21.0,16.0,134.47619047619048,8.0,167.0
13,18.0,18.0,153.61111111111111,9.25,166.0
14,18.0,18.0,164.27777777777777,9.15384578704834,168.0
15,18.0,18.0,172.44444444444446,9.15384578704834,166.0
16,19.0,20.0,163.21052631578948,9.642857551574707,167.0
17,19.0,21.0,168.73684210526315,10.133333206176758,164.0
18,19.0,19.0,188.78947368421052,10.4375,166.0
19,19.0,19.0,196.31578947368422,10.4375,164.0
20,20.0,20.0,192.35,10.4375,164.0
21,22.0,20.0,185.0,10.4375,166.0
22,24.0,20.0,177.95833333333334,10.4375,162.0
23,27.0,22.0,151.07407407407408,10.4375,159.0
24,28.0,21.0,151.25,10.4375,155.0
25,30.0,20.0,148.26666666666668,10.4375,156.0
26,33.0,21.0,135.8181818181818,10.4375,154.0
27,36.0,21.0,127.58333333333333,10.4375,152.0
28,39.0,21.0,122.64102564102564,10.4375,148.0
29,44.0,17.0,121.1590909090909,10.4375,151.0
30,50.0,17.0,109.16,10.4375,148.0
31,58.0,17.0,95.56896551724138,10.4375,143.0
32,64.0,16.0,89.0625,9.88888931274414,139.0
33,70.0,15.0,84.62857142857143,8.857142448425293,140.0
34,77.0,15.0,78.14285714285714,8.681818008422852,134.0
35,87.0,14.0,72.03448275862068,9.0,140.0
36,101.0,13.0,63.94059405940594,9.035714149475098,126.0
37,117.0,11.0,59.495726495726494,8.96875,127.0
38,139.0,9.0,51.568345323741006,8.96875,122.0
39,157.0,7.0,46.5796178343949,8.15384578704834,118.0
40,175.0,6.0,41.6,8.319999694824219,117.0
41,205.0,6.0,34.91219512195122,8.491525650024414,106.0
42,231.0,7.0,29.16883116883117,8.471428871154785,92.0
43,259.0,6.0,24.969111969111967,7.561797618865967,87.0
44,277.0,5.0,22.624548736462096,7.008474349975586,80.0
45,282.0,4.0,21.368794326241133,7.248365879058838,75.0
46,277.0,5.0,19.71119133574007,7.142857074737549,72.0
47,283.0,3.0,18.752650176678443,7.147826194763184,76.0
48,279.0,3.0,17.96057347670251,7.320000171661377,69.0
49,274.0,4.0,16.186131386861312,7.156739711761475,75.0
50,267.0,4.0,14.797752808988765,7.200549602508545,72.0
51,264.0,3.0,13.68939393939394,7.162499904632568,71.0
52,249.0,3.0,12.791164658634537,7.222471714019775,77.0
53,223.0,4.0,12.42152466367713,7.215291976928711,78.0
54,201.0,2.0,13.900497512437811,7.178832054138184,97.0
55,189.0,2.0,13.555555555555555,7.269491672515869,103.0
56,173.0,3.0,13.416184971098266,7.20545768737793,97.0
57,137.0,2.0,16.970802919708028,7.1783061027526855,111.0
58,123.0,4.0,16.73170731707317,7.2031474113464355,115.0
59,106.0,5.0,17.9811320754717,7.232462406158447,126.0
60,99.0,3.0,21.13131313131313,7.3114094734191895,133.0
61,92.0,3.0,23.054347826086957,7.437007904052734,136.0
62,86.0,5.0,22.127906976744185,7.4355669021606445,143.0
63,87.0,6.0,20.367816091954023,7.449809551239014,142.0
64,87.0,7.0,19.03448275862069,7.452381134033203,141.0
65,88.0,6.0,19.193181818181817,7.445544719696045,139.0
66,90.0,6.0,18.5,7.427172660827637,140.0
67,86.0,5.0,20.686046511627907,7.446043014526367,143.0
68,80.0,7.0,20.2875,7.421487808227539,139.0
69,69.0,8.0,22.579710144927535,7.449594497680664,144.0
70,59.0,7.0,28.54237288135593,7.503990650177002,148.0
71,55.0,6.0,34.018181818181816,7.487612724304199,156.0
72,57.0,8.0,31.36842105263158,7.49608039855957,156.0
73,58.0,9.0,30.67241379310345,7.4760847091674805,154.0
74,52.0,7.0,38.75,7.491749286651611,152.0
75,55.0,7.0,37.07272727272727,7.494529724121094,159.0
76,60.0,7.0,33.833333333333336,7.513100624084473,153.0
77,59.0,9.0,31.8135593220339,7.492391109466553,146.0
78,59.0,10.0,30.423728813559322,7.485436916351318,149.0
79,54.0,9.0,36.94444444444444,7.487700462341309,152.0
80,51.0,10.0,38.31372549019608,7.46921443939209,153.0
81,51.0,11.0,38.21568627450981,7.4668073654174805,157.0
82,54.0,11.0,38.407407407407405,7.486372947692871,156.0
83,51.0,10.0,44.98039215686274,7.483870983123779,155.0
84,49.0,10.0,49.06122448979592,7.5382232666015625,156.0
85,57.0,9.0,44.85964912280702,7.556243419647217,156.0
86,63.0,10.0,40.285714285714285,7.572895050048828,153.0
87,72.0,8.0,39.0,7.568647384643555,150.0
88,83.0,7.0,35.68674698795181,7.5587334632873535,146.0
89,87.0,5.0,36.98850574712644,7.531914710998535,147.0
90,97.0,6.0,32.2680412371134,7.583669185638428,139.0
91,105.0,6.0,29.942857142857143,7.562437534332275,138.0
92,114.0,6.0,26.68421052631579,7.542743682861328,127.0
93,119.0,7.0,23.873949579831933,7.553694725036621,126.0
94,120.0,8.0,22.075,7.521908283233643,126.0
95,111.0,7.0,24.126126126126128,7.507176876068115,124.0
96,96.0,7.0,27.791666666666668,7.485527515411377,135.0
97,82.0,8.0,32.18292682926829,7.524725437164307,139.0
98,72.0,6.0,40.68055555555556,7.515779972076416,146.0
99,65.0,6.0,46.13846153846154,7.548617362976074,147.0
100,63.0,8.0,46.666666666666664,7.586572647094727,153.0
101,69.0,9.0,41.98550724637681,7.644679069519043,152.0
102,74.0,9.0,39.74324324324324,7.660228252410889,141.0
103,83.0,8.0,38.27710843373494,7.7152838706970215,149.0
104,90.0,9.0,35.4,7.716768264770508,135.0
105,94.0,9.0,35.03191489361702,7.684210300445557,132.0
106,100.0,7.0,35.59,7.712082386016846,134.0
107,110.0,9.0,30.454545454545453,7.713798999786377,124.0
108,114.0,9.0,29.44736842105263,7.724429607391357,125.0
109,120.0,7.0,29.7,7.710570335388184,119.0
110,131.0,8.0,26.38167938931298,7.704904556274414,123.0
111,136.0,7.0,25.808823529411764,7.704676151275635,121.0
112,144.0,8.0,23.02777777777778,7.6869916915893555,117.0
113,149.0,6.0,23.006711409395972,7.69767427444458,117.0
114,152.0,7.0,20.335526315789473,7.69175910949707,104.0
115,149.0,8.0,19.738255033557046,7.681959629058838,116.0
116,152.0,7.0,19.039473684210527,7.645259857177734,119.0
117,140.0,7.0,19.957142857142856,7.626315593719482,114.0
118,127.0,6.0,22.15748031496063,7.623711109161377,120.0
119,125.0,7.0,20.76,7.60929536819458,125.0
120,124.0,6.0,20.919354838709676,7.641117572784424,125.0
121,129.0,6.0,19.310077519379846,7.651030540466309,122.0
122,127.0,8.0,16.677165354330707,7.633427143096924,115.0
123,126.0,6.0,17.396825396825395,7.616828918457031,116.0
124,121.0,7.0,16.611570247933884,7.6392316818237305,120.0
125,116.0,6.0,17.448275862068964,7.630331516265869,123.0
126,111.0,5.0,18.61261261261261,7.60802698135376,123.0
127,107.0,5.0,18.72897196261682,7.604097843170166,131.0
128,101.0,3.0,21.584158415841586,7.602614402770996,132.0
129,89.0,4.0,22.089887640449437,7.633893966674805,129.0
130,76.0,5.0,24.56578947368421,7.680715084075928,143.0
131,68.0,5.0,27.897058823529413,7.702719688415527,149.0
132,67.0,7.0,25.776119402985074,7.721208095550537,147.0
133,62.0,7.0,28.35483870967742,7.750782489776611,141.0
134,59.0,8.0,28.305084745762713,7.752025127410889,147.0
135,56.0,7.0,32.482142857142854,7.7754340171813965,149.0
136,57.0,5.0,36.0,7.774752616882324,154.0
137,52.0,5.0,40.88461538461539,7.7733988761901855,154.0
138,46.0,6.0,46.69565217391305,7.751838207244873,157.0
139,42.0,8.0,50.11904761904762,7.784014701843262,160.0
140,41.0,9.0,53.073170731707314,7.787971019744873,165.0
141,39.0,8.0,60.41025641025641,7.799152851104736,165.0
142,41.0,9.0,58.78048780487805,7.801932334899902,163.0
143,48.0,10.0,51.25,7.801932334899902,160.0
144,49.0,9.0,55.326530612244895,7.805304527282715,155.0
145,52.0,10.0,51.98076923076923,7.803011894226074,150.0
146,56.0,12.0,45.875,7.802164554595947,152.0
147,59.0,10.0,48.067796610169495,7.805755615234375,150.0
148,65.0,10.0,45.246153846153845,7.812686920166016,152.0
149,74.0,9.0,42.310810810810814,7.836917400360107,147.0
150,81.0,9.0,40.358024691358025,7.835420608520508,144.0
151,90.0,9.0,36.955555555555556,7.821640968322754,137.0
152,96.0,9.0,34.416666666666664,7.808762550354004,133.0
153,111.0,11.0,27.783783783783782,7.806623458862305,128.0
154,126.0,11.0,24.3015873015873,7.7988200187683105,127.0
155,131.0,11.0,22.9618320610687,7.780829906463623,124.0
156,135.0,10.0,22.6,7.764194488525391,118.0
157,129.0,11.0,22.162790697674417,7.766456604003906,119.0
158,131.0,11.0,21.0381679389313,7.769186973571777,108.0
159,134.0,10.0,20.544776119402986,7.772701740264893,113.0
160,130.0,8.0,21.99230769230769,7.778149604797363,115.0
161,128.0,6.0,23.390625,7.786622524261475,119.0
162,132.0,5.0,22.59090909090909,7.798134803771973,121.0
163,133.0,6.0,21.278195488721803,7.786840438842773,119.0
164,117.0,6.0,23.29059829059829,7.7546868324279785,118.0
165,114.0,6.0,22.885964912280702,7.771398067474365,124.0
166,115.0,6.0,22.191304347826087,7.8159284591674805,123.0
167,116.0,6.0,21.70689655172414,7.8213725090026855,121.0
168,112.0,7.0,20.892857142857142,7.8218183517456055,125.0
169,99.0,7.0,23.646464646464647,7.800102710723877,134.0
170,94.0,6.0,26.23404255319149,7.827656269073486,134.0
171,86.0,5.0,30.011627906976745,7.814422607421875,135.0
172,83.0,7.0,28.50602409638554,7.846693515777588,138.0
173,87.0,8.0,26.39080459770115,7.8496503829956055,137.0
174,89.0,9.0,25.1123595505618,7.84343957901001,137.0
175,87.0,9.0,25.95402298850575,7.829797744750977,139.0
176,91.0,8.0,25.86813186813187,7.830874919891357,132.0
177,91.0,9.0,24.802197802197803,7.812224864959717,133.0
178,92.0,10.0,23.16304347826087,7.806624412536621,128.0
179,86.0,10.0,25.127906976744185,7.820599555969238,132.0
180,85.0,8.0,28.694117647058825,7.824915885925293,137.0
181,76.0,7.0,33.5,7.8305487632751465,135.0
182,69.0,7.0,36.63768115942029,7.822412014007568,137.0
183,66.0,7.0,39.40909090909091,7.821192264556885,142.0
184,67.0,8.0,38.3134328358209,7.815950870513916,147.0
185,62.0,8.0,43.45161290322581,7.857679843902588,147.0
186,60.0,9.0,44.21666666666667,7.861891269683838,145.0
187,67.0,9.0,40.71641791044776,7.857476711273193,151.0
188,69.0,8.0,42.20289855072464,7.887698173522949,144.0
189,81.0,9.0,35.25925925925926,7.884955883026123,143.0
190,89.0,9.0,32.258426966292134,7.883255958557129,133.0
191,98.0,9.0,29.306122448979593,7.88265323638916,133.0
192,110.0,9.0,26.2,7.876389026641846,128.0
193,120.0,7.0,25.291666666666668,7.864328384399414,122.0
194,123.0,6.0,25.089430894308943,7.848762512207031,130.0
195,129.0,5.0,24.790697674418606,7.867425918579102,123.0
196,131.0,5.0,24.259541984732824,7.85675573348999,131.0
197,128.0,6.0,23.2265625,7.877240180969238,123.0
198,131.0,7.0,21.236641221374047,7.900311470031738,116.0
199,135.0,5.0,20.755555555555556,7.896811485290527,113.0
200,130.0,5.0,21.43846153846154,7.89702033996582,116.0
201,127.0,4.0,22.15748031496063,7.887874603271484,121.0
202,129.0,5.0,20.503875968992247,7.893396854400635,127.0
203,127.0,6.0,18.937007874015748,7.893270492553711,119.0
204,122.0,4.0,20.688524590163933,7.879251480102539,132.0
205,120.0,4.0,21.108333333333334,7.874683380126953,128.0
206,116.0,5.0,20.724137931034484,7.871129512786865,130.0
207,100.0,6.0,22.34,7.8861284255981445,132.0
208,101.0,8.0,19.10891089108911,7.897900581359863,136.0
209,95.0,7.0,20.53684210526316,7.895662784576416,134.0
210,96.0,7.0,20.697916666666668,7.890472412109375,141.0
211,89.0,7.0,22.39325842696629,7.897373676300049,139.0
212,85.0,7.0,23.741176470588236,7.884646415710449,139.0
Average,20337.0,1903.0,9539.496410113583,1633.9865145683289,28799.0
